Date,Stock Splits
2002-03-01 00:00:00-03:00,1.4038
2008-01-07 00:00:00-02:00,1.3831
2013-11-25 00:00:00-02:00,4.0
2023-12-15 00:00:00-03:00,0.04
2023-12-28 00:00:00-03:00,0.04
