Time,Open,High,Low,Close,TickVolume,Spread,RealVolume
2025-09-26 02:11:00,0.7998,0.79982,0.79977,0.79982,27,10,0
2025-09-26 02:12:00,0.7998,0.79982,0.7998,0.7998,21,10,0
2025-09-26 02:13:00,0.79982,0.79984,0.7998,0.79984,18,10,0
2025-09-26 02:14:00,0.79983,0.79984,0.7998,0.79983,16,10,0
2025-09-26 02:15:00,0.79983,0.79985,0.79982,0.79985,14,11,0
2025-09-26 02:16:00,0.79984,0.79985,0.79974,0.79976,19,10,0
2025-09-26 02:17:00,0.79976,0.79976,0.79974,0.79975,12,10,0
2025-09-26 02:18:00,0.79974,0.79976,0.79974,0.79975,8,10,0
2025-09-26 02:19:00,0.79973,0.79973,0.79966,0.79968,8,10,0
2025-09-26 02:20:00,0.79968,0.79968,0.79964,0.79968,22,10,0
2025-09-26 02:21:00,0.79971,0.79971,0.79964,0.79964,23,10,0
2025-09-26 02:22:00,0.79966,0.79966,0.79956,0.79956,26,10,0
2025-09-26 02:23:00,0.79957,0.79958,0.79956,0.79958,19,11,0
2025-09-26 02:24:00,0.79957,0.79959,0.79956,0.79956,18,11,0
2025-09-26 02:25:00,0.79957,0.79961,0.79956,0.7996,18,11,0
2025-09-26 02:26:00,0.7996,0.79961,0.79956,0.79958,36,10,0
2025-09-26 02:27:00,0.79957,0.79958,0.79953,0.79953,27,10,0
2025-09-26 02:28:00,0.79953,0.79955,0.79949,0.79949,32,10,0
2025-09-26 02:29:00,0.79949,0.7995,0.79946,0.79948,19,10,0
2025-09-26 02:30:00,0.79949,0.79949,0.79947,0.79948,9,10,0
2025-09-26 02:31:00,0.79948,0.7995,0.79948,0.79948,5,10,0
2025-09-26 02:32:00,0.79948,0.79948,0.79935,0.7994,22,10,0
2025-09-26 02:33:00,0.7994,0.79944,0.79936,0.79944,26,10,0
2025-09-26 02:34:00,0.79944,0.79944,0.7994,0.7994,21,10,0
2025-09-26 02:35:00,0.79941,0.79947,0.7994,0.79945,29,10,0
2025-09-26 02:36:00,0.79946,0.79946,0.7994,0.79941,23,10,0
2025-09-26 02:37:00,0.7994,0.79942,0.7994,0.79941,26,10,0
2025-09-26 02:38:00,0.79942,0.79945,0.79939,0.79944,36,10,0
2025-09-26 02:39:00,0.79945,0.79947,0.79943,0.79946,18,10,0
