Time,Open,High,Low,Close,TickVolume,Spread,RealVolume
2025-09-26 02:16:00,1.3345500000000001,1.33471,1.3345500000000001,1.3347,13,4,0
2025-09-26 02:17:00,1.33468,1.33468,1.33466,1.33467,7,4,0
2025-09-26 02:18:00,1.33465,1.33471,1.33465,1.33471,3,4,0
2025-09-26 02:19:00,1.33472,1.33478,1.33469,1.33477,14,4,0
2025-09-26 02:20:00,1.33476,1.3348499999999999,1.33472,1.33475,18,4,0
2025-09-26 02:21:00,1.33475,1.3348499999999999,1.33472,1.3348499999999999,16,4,0
2025-09-26 02:22:00,1.33486,1.33496,1.3348200000000001,1.33496,14,4,0
2025-09-26 02:23:00,1.33495,1.33497,1.33495,1.33495,6,4,0
2025-09-26 02:24:00,1.33495,1.33496,1.3349199999999999,1.33496,14,4,0
2025-09-26 02:25:00,1.33497,1.33498,1.33494,1.33496,7,4,0
2025-09-26 02:26:00,1.33495,1.33499,1.33493,1.33496,9,4,0
2025-09-26 02:27:00,1.33497,1.33507,1.33497,1.33506,17,4,0
2025-09-26 02:28:00,1.33507,1.33507,1.33499,1.33506,17,4,0
2025-09-26 02:29:00,1.33504,1.33514,1.33504,1.33505,15,4,0
2025-09-26 02:30:00,1.33505,1.3351600000000001,1.33503,1.33515,17,4,0
2025-09-26 02:31:00,1.33515,1.3351600000000001,1.3351199999999999,1.3351199999999999,7,4,0
2025-09-26 02:32:00,1.33513,1.33529,1.33513,1.33522,14,4,0
2025-09-26 02:33:00,1.33522,1.33529,1.33515,1.33515,20,4,0
2025-09-26 02:34:00,1.3351600000000001,1.33528,1.3351600000000001,1.33528,12,4,0
2025-09-26 02:35:00,1.33529,1.33529,1.3351199999999999,1.33518,12,4,0
2025-09-26 02:36:00,1.33518,1.33532,1.33518,1.33532,12,4,0
2025-09-26 02:37:00,1.33535,1.33541,1.33535,1.33538,15,4,0
2025-09-26 02:38:00,1.33537,1.33537,1.33535,1.33536,5,4,0
2025-09-26 02:39:00,1.33534,1.33535,1.33525,1.33525,29,4,0
2025-09-26 02:40:00,1.33524,1.33535,1.33524,1.33531,16,4,0
2025-09-26 02:41:00,1.33534,1.33538,1.33527,1.33537,20,4,0
2025-09-26 02:42:00,1.33536,1.33537,1.33527,1.33527,13,4,0
2025-09-26 02:43:00,1.33527,1.33535,1.33527,1.33535,20,4,0
2025-09-26 02:44:00,1.33535,1.3354599999999999,1.33532,1.33537,17,4,0
2025-09-26 02:45:00,1.33537,1.3354599999999999,1.33535,1.33539,16,4,0
2025-09-26 02:46:00,1.33542,1.33542,1.33538,1.33538,5,4,0
2025-09-26 02:47:00,1.33538,1.33544,1.33537,1.3354,11,4,0
2025-09-26 02:48:00,1.33542,1.33551,1.33536,1.33551,16,4,0
2025-09-26 02:49:00,1.3355000000000001,1.33555,1.33544,1.33547,19,4,0
2025-09-26 02:50:00,1.33548,1.33552,1.3354599999999999,1.33548,14,4,0
2025-09-26 02:51:00,1.33547,1.33549,1.33542,1.33545,20,4,0
2025-09-26 02:52:00,1.33544,1.33544,1.33526,1.33527,18,4,0
2025-09-26 02:53:00,1.33531,1.33534,1.33525,1.33533,10,4,0
2025-09-26 02:54:00,1.33533,1.33534,1.33533,1.33534,2,4,0
2025-09-26 02:55:00,1.33534,1.33536,1.33528,1.33532,10,4,0
2025-09-26 02:56:00,1.33529,1.3353,1.33525,1.33525,8,4,0
2025-09-26 02:57:00,1.33525,1.33525,1.33505,1.33505,22,4,0
2025-09-26 02:58:00,1.33504,1.33514,1.33504,1.3351,13,4,0
2025-09-26 02:59:00,1.33509,1.3351,1.33495,1.33498,11,4,0
2025-09-26 03:00:00,1.33496,1.33501,1.33493,1.33497,19,4,0
2025-09-26 03:01:00,1.33496,1.33499,1.33483,1.33499,16,4,0
2025-09-26 03:02:00,1.33499,1.33499,1.33481,1.33486,18,4,0
2025-09-26 03:03:00,1.33486,1.33507,1.33486,1.33506,11,4,0
2025-09-26 03:04:00,1.33507,1.3351600000000001,1.33507,1.33513,13,4,0
2025-09-26 03:05:00,1.33515,1.3351899999999999,1.33508,1.33513,17,4,0
2025-09-26 03:06:00,1.33515,1.33515,1.33514,1.33515,5,4,0
2025-09-26 03:07:00,1.33515,1.3351600000000001,1.33513,1.33515,6,4,0
2025-09-26 03:08:00,1.33515,1.3351600000000001,1.33509,1.33515,18,4,0
2025-09-26 03:09:00,1.3351600000000001,1.33525,1.3351600000000001,1.33518,11,4,0
2025-09-26 03:10:00,1.3352,1.33524,1.33518,1.3351899999999999,16,4,0
2025-09-26 03:11:00,1.3352,1.33524,1.3351899999999999,1.33524,13,4,0
2025-09-26 03:12:00,1.33523,1.33524,1.3351600000000001,1.3351600000000001,14,4,0
2025-09-26 03:13:00,1.33515,1.3351600000000001,1.33504,1.33504,4,4,0
2025-09-26 03:14:00,1.33502,1.33513,1.33502,1.33506,19,4,0
2025-09-26 03:15:00,1.33507,1.33513,1.33506,1.33513,11,4,0
2025-09-26 03:16:00,1.3351199999999999,1.33518,1.3351199999999999,1.33517,5,4,0
2025-09-26 03:17:00,1.3351600000000001,1.33518,1.33515,1.3351600000000001,9,4,0
2025-09-26 03:18:00,1.3351600000000001,1.3351600000000001,1.33515,1.33515,2,4,0
2025-09-26 03:19:00,1.33508,1.3351600000000001,1.33508,1.33515,7,4,0
