symbol,name,sector,industry,marketCap,PE_ratio,PB_ratio,EPS,dividendYield,debtToEquity,Datetime,Close,High,Low,Open,Volume
,,,,,,,,,,,LREN3.SA,LREN3.SA,LREN3.SA,LREN3.SA,LREN3.SA
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:03:00+00:00,15.119999885559082,15.140000343322754,15.0600004196167,15.09000015258789,0
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:04:00+00:00,15.010000228881836,15.119999885559082,14.989999771118164,15.119999885559082,31200
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:05:00+00:00,15.010000228881836,15.029999732971191,14.989999771118164,15.020000457763672,13200
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:06:00+00:00,15.09000015258789,15.109999656677246,15.0,15.010000228881836,17200
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:07:00+00:00,15.09000015258789,15.119999885559082,15.069999694824219,15.079999923706055,21500
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:08:00+00:00,15.140000343322754,15.170000076293945,15.079999923706055,15.079999923706055,14200
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:09:00+00:00,15.100000381469727,15.149999618530273,15.100000381469727,15.149999618530273,2900
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:10:00+00:00,15.109999656677246,15.130000114440918,15.100000381469727,15.100000381469727,10800
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:11:00+00:00,15.229999542236328,15.25,15.119999885559082,15.119999885559082,128800
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:12:00+00:00,15.260000228881836,15.270000457763672,15.239999771118164,15.239999771118164,39900
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:13:00+00:00,15.260000228881836,15.270000457763672,15.239999771118164,15.260000228881836,13800
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:14:00+00:00,15.25,15.25,15.229999542236328,15.239999771118164,22300
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:15:00+00:00,15.25,15.25,15.199999809265137,15.229999542236328,47300
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:16:00+00:00,15.279999732971191,15.289999961853027,15.25,15.260000228881836,54600
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:17:00+00:00,15.300000190734863,15.329999923706055,15.270000457763672,15.279999732971191,31900
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:18:00+00:00,15.390000343322754,15.390000343322754,15.289999961853027,15.289999961853027,23900
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:19:00+00:00,15.350000381469727,15.369999885559082,15.34000015258789,15.369999885559082,28000
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:20:00+00:00,15.359999656677246,15.369999885559082,15.329999923706055,15.350000381469727,20900
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:21:00+00:00,15.359999656677246,15.369999885559082,15.34000015258789,15.359999656677246,8900
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:22:00+00:00,15.34000015258789,15.380000114440918,15.34000015258789,15.359999656677246,19400
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:23:00+00:00,15.34000015258789,15.350000381469727,15.329999923706055,15.350000381469727,700
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:24:00+00:00,15.350000381469727,15.369999885559082,15.350000381469727,15.350000381469727,3500
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:25:00+00:00,15.369999885559082,15.369999885559082,15.359999656677246,15.359999656677246,1400
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:26:00+00:00,15.350000381469727,15.380000114440918,15.329999923706055,15.369999885559082,37800
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:27:00+00:00,15.369999885559082,15.369999885559082,15.350000381469727,15.350000381469727,8500
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:28:00+00:00,15.359999656677246,15.359999656677246,15.34000015258789,15.350000381469727,700
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:29:00+00:00,15.369999885559082,15.369999885559082,15.329999923706055,15.359999656677246,8100
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:30:00+00:00,15.380000114440918,15.390000343322754,15.34000015258789,15.369999885559082,42700
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:31:00+00:00,15.350000381469727,15.380000114440918,15.34000015258789,15.380000114440918,24200
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:32:00+00:00,15.289999961853027,15.350000381469727,15.289999961853027,15.34000015258789,92200
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:33:00+00:00,15.279999732971191,15.300000190734863,15.260000228881836,15.289999961853027,15000
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:34:00+00:00,15.25,15.270000457763672,15.239999771118164,15.270000457763672,5400
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:35:00+00:00,15.300000190734863,15.300000190734863,15.239999771118164,15.239999771118164,66900
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:36:00+00:00,15.270000457763672,15.300000190734863,15.270000457763672,15.279999732971191,23500
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:37:00+00:00,15.289999961853027,15.289999961853027,15.270000457763672,15.270000457763672,7700
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:38:00+00:00,15.260000228881836,15.289999961853027,15.239999771118164,15.279999732971191,16700
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:39:00+00:00,15.25,15.270000457763672,15.239999771118164,15.260000228881836,8800
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:40:00+00:00,15.270000457763672,15.270000457763672,15.229999542236328,15.25,6100
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:41:00+00:00,15.220000267028809,15.25,15.220000267028809,15.25,4000
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:42:00+00:00,15.229999542236328,15.229999542236328,15.210000038146973,15.220000267028809,17300
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:43:00+00:00,15.210000038146973,15.220000267028809,15.199999809265137,15.220000267028809,14700
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,15656520704,11.783582,1.5376376,1.34,5.58,28.287,2025-11-25 13:44:00+00:00,15.170000076293945,15.210000038146973,15.170000076293945,15.199999809265137,38500
